_id,Library Full Name,Library Number,Survey Year From,A1.3 Ontario Library Service (OLS) Region (English),A1.4 Type of Library Service (English),A1.5 Mailing Address,A1.9 Street Address,A1.10 City/Town,A1.11 Province,A1.12 Postal Code,A1.13 Web Site Address,A1.14  No. of Active Library Cardholders,B1.1  Net Balance brought forward from previous year,B2.1.1  Public Library Operating Grant (PLOG),B2.1.2  Pay Equity Grant,B2.1.3  First Nation Salary Supplement Grant,B2.1.4  Total Provincial Operating Funding,B2.2  Local Operating Funding,B2.3  Contract Revenue,B2.4.1.03  Trillium Foundation funding,B2.4.1.04  Provincial student employment funding,B2.4.1.05  ServiceOntario,B2.4.1.08  Young Canada Works,B2.4.1.99  Other Project Grant,B2.4.1a  Total Project Grants,B2.5  Donations,B2.6  Self Generated Revenue,B2.7  Debt Services and Reserve Fund Revenues,B2.8  Other Operating Revenue,B2.9  Total Operating Revenues,B3.1  Provincial,B3.2  Federal,B3.3  Local,B3.4  Other Capital Revenue,B3.5  Total Capital Revenues,B4.01  Materials,B4.01.1  Physical materials,B4.01.2  Electronic materials,B4.02.1  Total funds (not including employee benefits),B4.02.2  Employee Benefits,B4.03  Staff Training,B4.04  Facilities/Utilities,B4.05.1  Telephone and Fax,B4.05.2  Dedicated Internet Connectivity Costs,B4.06  Computer Services,B4.07  Debt Charges and Transfers to Reserve Funds,B4.08  Funds returned to government sources,B4.09  Contract payments for library services,B4.10  Other Operating Expenses,B5.0  Total Operating Expenditures,B6.0  Total Capital Expenditures,C0.1.E  English Print Titles Held,C0.1.F  French Print Titles Held,C0.1.O  Other Print Titles Held,C0.1.T  Total Print Titles Held,C0.2.E  English Print Volumes Held,C0.2.F  French Print Volumes Held,C0.2.O  Other Print Volumes Held,C0.2.T  Total Print Volumes Held,C0.3.1.E  English CD and DVD Titles,C0.3.1.F  French CD and DVD Titles,C0.3.1.O  Other CD and DVD Titles,C0.3.1.T  Total CD and DVD Titles,C0.3.2.E  English CD and DVD Copies,C0.3.2.F  French CD and DVD Copies,C0.3.2.O  Other CD and DVD Copies,C0.3.2.T  Total CD and DVD Copies,C0.3.5.E  English E-Book Titles,C0.3.5.F  French E-Book Titles,C0.3.5.O  Other E-Book Titles,C0.3.5.T  Total E-Book Titles,C0.3.6.E  English E-Book Copies,C0.3.6.F  French E-Book Copies,C0.3.6.O  Other E-Book Copies,C0.3.6.T  Total E-Book Copies,C0.3.7.E  English E-Audio Book Titles,C0.3.7.F  French E-Audio Book Titles,C0.3.7.O  Other E-Audio Book Titles,C0.3.7.T  Total E-Audio Book Titles,C0.3.8.E  English E-Audio Book Copies,C0.3.8.F  French E-Audio Book Copies,C0.3.8.O  Other E-Audio Book Copies,C0.3.8.T  Total E-Audio Book Copies,C0.4.E  English Special Collections - Original Format,C0.4.F  French Special Collections - Original Format,C0.4.O  Other Special Collections - Original Format,C0.4.T  Total Special Collections - Original Format,C0.5.E  English Special Collections - Digital Format,C0.5.F  French Special Collections - Digital Format,C0.5.O  Other Special Collections - Digital Format,C0.5.T  Total Special Collections - Digital Format,C3.1.E  English Print Periodical Titles Held,C3.1.F  French Print Periodical Titles Held,C3.1.O  Other Print Periodical Titles Held,C3.1.T  Total Print Periodical Titles Held,C3.2.0.E  English Databases and Database Subscriptions,C3.2.0.F  French Databases and Database Subscriptions,C3.2.0.O  Other Databases and Database Subscriptions,C3.2.0.T  Total Databases and Database Subscriptions,C4.1.F  No,C4.1.T  Yes,"C4.2  If yes, how many",C4.3.01  Freegal,C4.3.02  Freading,C4.3.03  Hoopla,C4.3.05  IndieFlix,C4.3.06  Flipster,C4.3.07  Naxos,C4.3.14  Kanopy,C4.3.15  PressReader,C4.3.16  OverDrive Magazines,C4.3.90  Other,C5.1  Number of e-learning services provided,C5.1.1.09  Gale Courses,C5.1.1.10  Learning Express,C5.1.1.11  Mango Languages,C5.1.1.12  Brainfuse,C5.1.1.17  LinkedIn Learning,C5.1.1.18  Universal Class,C5.1.1.90  Other,C5.2  How many cardholders took e-learning courses?,C5.3  Number of e-learning courses taken,D1.0.H  How many hours per week constitute full time,D1.1.1.C  Librarians,D1.1.2.C  Library Technicians,D1.1.3.1.C  Other Specialized Professional Staff,D1.1.3.C  EXCEL Graduates,D1.1.4.C  Other Staff,D1.1.5.C  Volunteers,D1.2.1.C  Librarians,D1.2.1.H  Librarians,D1.2.2.C  Library Technicians,D1.2.2.H  Library Technicians,D1.2.3.1.C  Other Specialized Professional Staff,D1.2.3.1.H  Other Specialized Professional Staff,D1.2.3.C  EXCEL Graduates,D1.2.3.H  EXCEL Graduates,D1.2.4.C  Other Staff,D1.2.4.H  Other Staff,D1.2.5.C  Volunteers,D1.2.5.H  Volunteers,"D1.301.C  Number of students, co-op students, and interns",E1.1  Number of Public Access Workstations,E1.1.1  Provide Internet access,E1.1.2  Provide OPAC and/or ILS Access,E1.1.4  Number of portable devices for lending,E1.2  E-readers,E2.1.F  Does your library have an automated catalogue system?,E2.1.T  Does your library have an automated catalogue system?,E2.3.F  Does your library provide wireless Internet connection?,E2.3.T  Does your library provide wireless Internet connection?,E2.4.F  Does your library have a 3D Printer(s),E2.4.T  Does your library have a 3D Printer(s),E2.5  If yes state how many:,"E2.6.F  Does your library have a Maker Space, etc.","E2.6.T  Does your library have a Maker Space, etc.",E2.7  If yes state how many:,E2.801  How many circulating wireless hot spot devices,E3.1.SPC  Main Library,E3.1.SPH  Main Library,E3.2.SPC  Branches open 12 hours per week or more,E3.2.SPH  Branches open 12 hours per week or more,E3.3.SPC  Branches open less than 12 hours per week,E3.3.SPH  Branches open less than 12 hours per week,E3.4.SPC  Bookmobile stop locations,E3.4.SPH  Bookmobile stop locations,E3.5.SPC  Deposit Stations and Kiosks (refer to criteria),E3.5.SPH  Deposit Stations and Kiosks (refer to criteria),E3.6.SPC  No. of Bookmobiles owned by your library board,E4.1  Number of room rentals,E5.1  Number of pop-up libraries,E6.1  Activities open beyond regular library operating hours,E7.1  Combined square footage of all facilities,F1.0  Total Annual Circulation,F1.1  Total Annual E-Book Downloads / Borrows,F1.2  Total Annual E-Audio Book Downloads / Borrows,F1.3  Total Annual Music Downloads / Borrows,F1.4  Total Annual Video Downloads / Borrows,F1.5  Total Annual E-Magazine Downloads / Borrows,F2.1.P  No. of programs held annually,F2.2.A  Annual program attendance,F2.301.Attendance  Early literacy and Early learning,F2.301.Programs  Early literacy and Early learning,F2.302.Attendance  Other Children's programming,F2.302.Programs  Other Children's programming,F2.303.Attendance  Summer Reading,F2.303.Programs  Summer Reading,F2.304.Attendance  Homework help,F2.304.Programs  Homework help,F2.305.Attendance  Class instruction at a library or school,F2.305.Programs  Class instruction at a library or school,F2.306.Attendance  Teen programming,F2.306.Programs  Teen programming,F2.307.Attendance  Newcomer focus,F2.307.Programs  Newcomer focus,"F2.308.Attendance  Careers, job help / skills","F2.308.Programs  Careers, job help / skills",F2.309.Attendance  Business Development,F2.309.Programs  Business Development,F2.310.Attendance  Community Development,F2.310.Programs  Community Development,F2.311.Attendance Technology,F2.311.Programs Technology,F2.311a.Attendance  Maker space,F2.311a.Programs  Maker space,"F2.312.Attendance  Genealogy, local history, Doors Open","F2.312.Programs  Genealogy, local history, Doors Open",F2.313.Attendance  Adult learning (not covered elsewhere),F2.313.Programs  Adult learning (not covered elsewhere),F2.314.Attendance  Seniors programming,F2.314.Programs  Seniors programming,F2.315.Attendance Culture,F2.315.Programs  Culture,F2.316.Attendance  First Nations Public Library Week,F2.316.Programs  First Nations Public Library Week,F2.317.Attendance  First Nation Communities Read,F2.317.Programs  First Nation Communities Read,F2.317a.Attendance  Indigenous language training and retention,F2.317a.Programs  Indigenous language training and retention,F2.318.Attendance  Library Week / Month,F2.318.Programs  Library Week / Month,F2.319.Attendance  Book Clubs,F2.319.Programs  Book Clubs,F2.320.Attendance  Other,F2.320.Programs  Other,F2.4.1  Number of visits to residence-bound people,F3.1.1  No. of requests made to other libraries,F3.1.2  No. of items being borrowed,F3.2.1  No. of requests received from other libraries,F3.2.2  No. of items lent,G1.1.1.W  Physical materials,G1.1.2.W  Electronic materials,G1.1.3.W  Total circulation of all library materials,G1.2.1.W  Total In Library Materials Use,G1.3.1.W  No. of people using library workstations,G1.3.2.W  Number of times databases were accessed,G1.3.3.W  Number of times public connecting to wifi,G1.3.4.W  Number of people using Maker Spaces,G1.4.1.W  No. of standard reference transactions,G1.4.2.W  No. of electronic reference transactions,G1.4.3.W  No. of Reader's Advisory transactions,G1.4.4.W  Number of technology support requests,G1.4.5.W  Average minutes per technology request,G1.4.6.W  Number of accessibility requests,G1.5.1.W  No. of visits to the library made in person,G1.5.2.W  No. of electronic visits to the library website,H1.1.1.01  Books,H1.1.1.02  E-books,H1.1.1.03  Databases and Other Downloadable Services,H1.1.1.04  Computer software,H1.1.1.05  Connectivity,H1.1.1.06  Integrated Library systems,H1.1.1.07  Corporate Discount Programs,H1.1.1.08  Municipal and Local government,H1.1.1.92  Other Types of Consortia,H1.1.201  Reciprocal borrowing agreements,H1.1.3.1  Accessibility Initiatives,H1.1.3.2  Accessibility training for staff,H1.1.3.3  Accessibility accomplishments,H1.1.3.4  Patron participation in CELA and / or NNELS,H1.1.3.5  Accessible collections and services,H1.2.1.F  No,H1.2.1.T  Yes,H1.2.2  Number of Friends organizations,H1.2.3.F  No,H1.2.3.T  Yes,H1.2.4  Number of Foundations,H1.3.1.F  No,H1.3.1.T  Yes,H1.3.2.10  Instagram,H1.3.2.11  Blogs,H1.3.2.12  Twitter,H1.3.2.13  Facebook,H1.3.2.15  RSS feeds,H1.3.2.16  Flickr,H1.3.2.17  YouTube,H1.3.2.18  LinkedIn,H1.3.2.19  Pinterest,H1.3.2.20  Tumblr,H1.3.2.60  Snapchat,H1.3.2.61  TikTok,H1.3.2.90  Other Social Media,H1.4.1.F  No,H1.4.1.T  Yes,"H1.4.2  If Yes, how many?",H1.4.3.21  Community museums,H1.4.3.22  Art galleries,H1.4.3.23  Municipal cultural planning partnerships,H1.4.3.24  Archives,H1.4.3.25  Heritage Organizations,H1.4.3.26  Ethno-cultural and Newcomer Service Organizations,H1.4.3.93  Other Cultural Partners,H1.5.1.F  No,H1.5.1.T  Yes,"H1.5.2  If Yes, how many?",H1.5.3.40  Early Childhood Organizations,H1.5.3.41  School boards,H1.5.3.42  Community Colleges,H1.5.3.43  Universities,H1.5.3.44  Distance Education,H1.5.3.94  Other Education Sector Partners,H1.5.4  Examples of Education sector partnerships,H1.7.1.F  No,H1.7.1.T  Yes,H1.7.2.31  ServiceOntario,H1.7.2.32  ESDC,H1.7.2.34  Municipal services (e.g. licences),H1.7.2.35  Health,H1.7.2.91  Other government Service Partnerships,H1.7.3  Examples of government partnerships,H1.8.1.F  No,H1.8.1.T  Yes,H1.8.2.1 Future capital projects,H1.8.2.1.PC  Future capital projects – project costs,H1.8.2.1.SF  Future capital projects  - square footage,H1.8.2.PC  Capital projects – project costs,H1.8.3.F  No,H1.8.3.T  Yes,H1.8.4.TN  Technology needs,H1.9.1.F  No,H1.9.1.T  Yes,H1.9.2.51  Chamber of Commerce,H1.9.2.52  Business Improvement Area (BIA),H1.9.2.95  Other Business and Economic Sector Partnerships,H1.9.3  Examples of business and economic partnerships,P1.1  Resident Population Served,P1.2  Contracting Population Served,P2.1  Contracting Households Served,P2.2  Resident Households Served
1,Addington Highlands Twp,L0005,2023,Southern Ontario Library Service,Public or Union Library,3641 Flinton Rd. Box 72 ,3641 Flinton Rd. ,Flinton,Ontario,K0H1P0,www.addingtonhighlandspubliclibrary.ca,964,"31,561","11,434",0,0,"11,434","83,558",0,"1,800",0,0,0,500,"2,300",700,"2,421",0,"2,669","103,082",0,0,0,0,0,"13,620","10,500","3,120","69,358","12,183",295,"8,071","1,824","3,212","1,007",0,0,0,"4,424","113,994",0,"11,833",33,0,"11,866","12,893",38,0,"12,931","2,363",3,0,"2,366","2,461",3,0,"2,464","60,494",541,113,"61,148","91,004",557,46,"91,607","18,143",73,8,"18,224","31,086",98,8,"31,192",0,0,0,0,0,0,0,0,9,0,0,9,4,2,2,8,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,2,30,3,11,2,4,0,12,12,0,4,0,0,1,0,1,0,0,0,0,1,4,4,1,15,1,15,0,0,0,0,0,0,0,0,0,0,"3,534","6,362",322,261,0,946,320,43,495,0,0,107,14,93,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0,0,0,497,497,0,0,117,27,144,5,9,12,33,20,0,0,16,0,0,0,83,123,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,755",0,0,"2,676"
2,Adjala-TosorontioTwp,L0003,2023,Southern Ontario Library Service,Contracting Municipality,7855 Sideroad 30 R.R. #1 ,7855 Sideroad 30 R.R. #1 ,Alliston,Ontario,L9R1V1,www.adjtos.ca,0,0,"13,821",0,0,"13,821","17,077",0,0,0,0,0,0,0,0,0,0,0,"30,898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,898",0,"30,898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,990",0,0,"4,128"
3,Admaston/Bromley Twp,L0002,2023,Southern Ontario Library Service,Public or Union Library,Hwy 60 P O Box 130 ,5346 Highway 60 ,Douglas,Ontario,K0J1S0,http://www.admastonbromleylibrary.com,377,"-4,078","5,518",0,0,"5,518","26,750",652,0,"3,812",0,0,500,"4,312",825,"6,243",0,"7,195","51,495",0,0,0,0,0,"7,039","4,768","2,271","23,712","2,330",0,"9,022","1,065","1,039","1,844",0,0,0,"7,254","53,305",0,"8,110",72,0,"8,182","8,115",72,0,"8,187","1,150",12,0,"1,162","1,150",12,0,"1,162","60,494",541,113,"61,148","91,004",557,46,"91,607","18,143",73,8,"18,224","31,086",98,8,"31,192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,4,2,3,1,4,4,4,7,1,0,1,0,1,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,"1,394","4,857","1,903",718,0,0,421,13,234,50,1,0,0,76,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,3,0,75,70,0,0,82,62,144,85,5,0,7,0,1,0,21,1,6,1,65,51,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"20,000",0,0,0,0,0,0,"2,995",0,0,"1,423"
4,Ajax,L0032,2023,Southern Ontario Library Service,Public or Union Library,55 Harwood Avenue South ,55 Harwood Avenue South ,Ajax,Ontario,L1S2H8,www.ajaxlibrary.ca,"38,219",0,"83,286","71,368",0,"154,654","6,706,600",0,0,0,0,0,"202,692","202,692","9,893","62,899",0,"125,876","7,262,614",0,0,0,0,0,"891,353","457,079","434,274","3,924,988","986,828","45,609","471,319","2,233",0,"218,402","317,680",0,0,"200,481","7,058,893","27,450","95,801","8,997","6,546","111,344","153,739","10,238","6,840","170,817","14,437",0,0,"14,437","29,239",0,0,"29,239","28,861",0,0,"28,861","40,208",0,0,"40,208","10,989",0,0,"10,989","40,138",0,0,"40,138",321,0,0,321,0,0,0,0,74,0,0,74,8,0,0,8,0,1,8,0,1,1,0,1,0,1,1,0,3,4,0,1,0,0,1,0,2,432,274,35,7,4,4,0,13,0,0,0,12,216,0,0,0,0,42,680,176,23.4,8,71,61,10,59,0,0,1,0,1,0,1,3,0,1,1,20,1,74,2,148,0,0,0,0,0,0,0,552,18,0,"56,187","743,279","129,372","75,558","1,946","6,307","22,836","1,876","47,987","6,244",171,"15,663",335,"2,968",83,459,43,"3,142",81,"1,740",149,"1,058",41,536,3,177,3,"1,502",29,842,61,"1,948",26,188,15,"6,752",527,"4,082",233,95,8,0,0,0,0,0,0,178,1,295,46,118,21,768,"1,593","1,069","1,494",635,"18,814","4,400","23,214","1,788","1,036","2,123","4,968",30,3,9,14,162,7,16,"12,858","14,376",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,57,0,0,1,0,1,1,15,0,1,6,1,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"1,080,000",0,1,"250,000",0,1,0,0,2,0,"126,666",0,0,"40,584"
5,Alberton Twp,L1098,2023,Ontario Library Service - North,Contracting Municipality,3 Highway 611 South RR1B2 ,3 Highway 611 South RR1B2 ,Township of Alberton,Ontario,P9A3M2,http://www.alberton.ca/,0,0,"1,500",0,0,"1,500","2,915",0,0,0,0,0,0,0,0,0,0,0,"4,415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,415",0,"4,415",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954,0,0,355
6,Alderville FN,L0390,2023,Southern Ontario Library Service,First Nations Library,32 Dunnette Landing Road ,32 Dunnette Landing Road ,Roseneath,Ontario,K0K2X0,https://alderville.ca/our-offices-services/library/,102,0,"1,329",0,"13,000","14,329","17,283",0,0,0,0,0,0,0,"5,000",0,0,"19,953","56,565",0,0,0,0,0,"4,293","3,005","1,288","23,274","8,126",0,"14,118",0,0,"2,044",0,0,0,"4,710","56,565",0,"5,457",0,23,"5,480","5,457",0,23,"5,480",314,0,4,318,314,0,4,318,"60,494",541,113,"61,148","91,004",557,46,"91,607","18,143",73,8,"18,224","31,086",98,8,"31,192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,500,759,55,3,0,0,0,37,378,126,18,128,12,124,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,40,0,40,56,0,0,0,0,2,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0
7,Alfred & Plantagenet Twp,L0004,2023,Southern Ontario Library Service,Public or Union Library,1963 rue de l'Hotel de Ville C.P. 10 ,1963 rue de l'Hotel de Ville C.P. 10 ,Lefaivre,Ontario,K0B1J0,https://www.alfred-plantagenet.com/en/living-here/bibliotheques.aspx,"1,466","202,801","13,936","1,729",0,"15,665","125,798",0,0,0,0,0,0,0,0,"4,951",0,"32,023","178,437",0,0,0,0,0,"32,763","30,343","2,420","272,669",0,0,"64,177","5,543","15,015",0,0,0,0,0,"390,167",0,"11,394","33,608",0,"45,002","12,852","45,131",0,"57,983","2,050","1,618",0,"3,668","2,143","1,644",0,"3,787","60,494","11,041",113,"71,648","91,004","13,991",113,"105,108","18,143","1,273",8,"19,424","31,086","1,516",8,"32,610",0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,1,27,5,78,4,37,2,11,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,81,0,0,0,0,0,0,0,0,0,0,"5,595","21,265","1,434",0,0,0,"1,369",57,659,0,0,415,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,7,196,22,0,302,259,259,0,357,41,398,0,10,0,5,0,26,0,0,5,5,0,203,137,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,949",0,0,"4,577"
8,Algonquins of Pikwakanagan FN,L0391,2023,Southern Ontario Library Service,First Nations Library,1657 A Mishomis Inamo ,1657 A Mishomis Inamo ,Golden Lake,Ontario,K0J1X0,https://www.algonquinsofpikwakanagan.com/departments/library-nabowadjigewigamig/,65,0,"2,388",0,"13,000","15,388","13,400",0,0,0,0,0,0,0,0,0,0,0,"28,788",0,0,0,0,0,"2,630",160,"2,470","26,270",500,0,0,0,0,0,0,0,0,0,"29,400",0,"5,349",0,0,"5,349","5,349",0,0,"5,349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20,0,0,0,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,15,0,0,118,"3,500",5,0,0,0,0,5,76,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,26,0,26,20,6,5,4,0,0,0,0,0,30,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0
9,Alnwick/Haldimand Twp,L0487,2023,Southern Ontario Library Service,Public or Union Library,2363 County Road 23 ,2363 County Road 23 ,Grafton,Ontario,K0K2G0,www.ahtwp.ca/library,"1,232",0,"13,478","3,273",0,"16,751","269,819",0,0,0,0,0,"4,428","4,428",653,"4,480",0,"4,695","300,826",0,0,0,0,0,"32,242","23,900","8,342","169,213","7,903","1,012","36,640","2,891","1,975","13,765",0,0,0,"11,701","277,342",0,"20,290",0,0,"20,290","24,151",0,0,"24,151","2,670",0,0,"2,670","2,670",0,0,"2,670","74,500",890,138,"75,528","109,926",912,202,"111,040","22,073",128,12,"22,213","36,529",154,12,"36,695",0,0,0,0,0,0,0,0,30,0,0,30,6,0,0,6,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,32.5,0,1,0,0,0,0,0,0,1,15,0,0,0,0,4,56,0,0,0,11,8,8,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,"16,712","13,863","3,553","2,057",0,0,"1,182",219,"2,392",445,61,413,13,175,12,0,0,0,0,18,1,0,0,0,0,0,0,0,0,36,4,0,0,0,0,25,2,923,91,26,1,0,0,0,0,0,0,105,2,226,32,0,0,0,501,450,646,97,382,126,508,79,24,0,163,0,28,6,36,2,14,22,374,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"16,000",0,0,0,0,0,0,"7,473",0,0,"2,823"
10,Amaranth Twp,L0012,2023,Southern Ontario Library Service,Contracting Municipality,374028 6th Line ,374028 6th Line ,Amaranth,Ontario,L9W0M6,www.amaranth.ca/en/index.aspx,0,0,"5,105",0,0,"5,105","118,135",0,0,0,0,0,0,0,0,0,0,0,"123,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"118,135",0,"118,135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,327",0,0,"1,473"
